month,sample_period,sp500_log_return,credit_spread,regime_raw,regime_label
1998-12,in_sample,0.03908862658698199,1,2,Recovery
1999-01,in_sample,0.0481637438209079,1.05,2,Recovery
1999-02,in_sample,-0.001755265243171937,0.94,2,Recovery
1999-03,in_sample,0.02775231109028606,0.86,2,Recovery
1999-04,in_sample,0.04059538769429989,0.8,2,Recovery
1999-05,in_sample,-0.002017377119888254,0.8,2,Recovery
1999-06,in_sample,-0.00717243207090421,0.78,2,Recovery
1999-07,in_sample,0.04323894205231309,0.75,2,Recovery
1999-08,in_sample,-0.03951069212242331,0.78,2,Recovery
1999-09,in_sample,-0.007045530078172155,0.81,2,Recovery
1999-10,in_sample,-0.01387245432512865,0.92,2,Recovery
1999-11,in_sample,0.06765095619570814,0.67,0,Bull
1999-12,in_sample,0.02672802810957289,0.54,0,Bull
2000-01,in_sample,-0.002165177931421222,0.58,0,Bull
2000-02,in_sample,-0.02609529623990239,0.64,0,Bull
2000-03,in_sample,0.03768619244798874,0.73,0,Bull
2000-04,in_sample,0.01319084965874718,0.84,2,Recovery
2000-05,in_sample,-0.02978163321969517,0.93,2,Recovery
2000-06,in_sample,0.03019212540558345,0.74,0,Bull
2000-07,in_sample,0.007523136308313921,0.71,0,Bull
2000-08,in_sample,0.008423351116875723,0.72,0,Bull
2000-09,in_sample,-0.01178949903956771,0.7,0,Bull
2000-10,in_sample,-0.05453052806260091,0.84,2,Recovery
2000-11,in_sample,-0.008742261748827978,0.81,2,Recovery
2000-12,in_sample,-0.03478425375247037,0.84,2,Recovery
2001-01,in_sample,0.003525144656112428,0.7,2,Recovery
2001-02,in_sample,-0.02262550231574325,0.83,2,Recovery
2001-03,in_sample,-0.09631777130550476,0.91,2,Recovery
2001-04,in_sample,0.003359027273438927,0.8,2,Recovery
2001-05,in_sample,0.06548935232012768,0.79,2,Recovery
2001-06,in_sample,-0.02523768109716541,0.82,2,Recovery
2001-07,in_sample,-0.02804748431439923,0.82,2,Recovery
2001-08,in_sample,-0.02178058781671976,0.83,2,Recovery
2001-09,in_sample,-0.1205701149378624,0.85,1,Bear
2001-10,in_sample,0.03012631014455913,0.87,1,Bear
2001-11,in_sample,0.04813576817811417,0.86,1,Bear
