month,sample_period,sp500_log_return,term_spread,z_sp500_log_return,z_term_spread
1990-02,in_sample,-0.02840201650666517,0.47,-0.9759364678560274,-1.201476400360935
1990-03,in_sample,0.02395055506347788,0.42,0.5167648382754468,-1.246779168097412
1990-04,in_sample,-0.0008276188696565126,0.75,-0.1897221877532059,-0.9477809010366678
1990-05,in_sample,0.03506888710683337,0.75,0.8337759852996963,-0.9477809010366678
1990-06,in_sample,0.02853959318427709,0.49,0.6476096657855196,-1.183355293266345
1990-07,in_sample,-0.0009994170899337458,0.6,-0.1946205799449877,-1.083689204246097
1990-08,in_sample,-0.08482455831639456,1.06,-2.584682692323691,-0.6669037410705143
1990-09,in_sample,-0.04748942319829406,1.29,-1.520165644088244,-0.4585110094827232
1990-10,in_sample,-0.02663482910422876,1.32,-0.9255495839899383,-0.4313293488408373
1990-11,in_sample,0.02625429952931824,1.1,0.582450291158037,-0.6306615268813333
1990-12,in_sample,0.04180473327011384,1.13,1.025831620090398,-0.6034798662394476
1991-01,in_sample,-0.00996584428148542,1.68,-0.4502755970481979,-0.1051494211382077
1991-02,in_sample,0.1070304468542816,1.73,2.88557804591776,-0.05984665340173134
1991-03,in_sample,0.02728407325273911,2.02,0.6118116870908176,0.2029093994698315
1991-04,in_sample,0.01968253336994373,2.21,0.3950729831198686,0.3750599168684416
1991-05,in_sample,-0.004461052444261111,2.44,-0.2933203660258347,0.5834526484562328
1991-06,in_sample,0.0007933569993531239,2.53,-0.1435041563497931,0.6649976303818901
1991-07,in_sample,0.005115235537913587,2.52,-0.02027670933112582,0.655937076834595
1991-08,in_sample,0.02383076015764036,2.4,0.5133491892051433,0.5472104342670517
1991-09,in_sample,-0.005665737535677308,2.28,-0.3276689176920075,0.4384837916995084
1991-10,in_sample,-0.0008267879759940738,2.39,-0.1896984969197285,0.5381498807197566
1991-11,in_sample,-0.002484473327661833,2.73,-0.2369632064722323,0.8462087013277957
1991-12,in_sample,0.006688815403407365,2.91,0.0245899447811305,1.009298665179111
1992-01,in_sample,0.06855863996264357,3.12,1.788651673935359,1.199570289672311
1992-02,in_sample,-0.008495899722113521,3.39,-0.4083638418486377,1.444205235449284
1992-03,in_sample,-0.01268433437366176,3.4,-0.527786473583847,1.453265788996579
1992-04,in_sample,0.000122734023252678,3.64,-0.1626252761405507,1.670719074131665
1992-05,in_sample,0.0180005346763419,3.67,0.3471150400513612,1.697900734773551
1992-06,in_sample,-0.01589186382830046,3.51,-0.6192410719502225,1.552931878016827
1992-07,in_sample,0.0164702746607087,3.56,0.3034835420074491,1.598234645753303
1992-08,in_sample,0.006914959485198716,3.39,0.03103787190561905,1.444205235449284
1992-09,in_sample,0.001315144676112386,3.45,-0.1286266990776454,1.498568556733055
1992-10,in_sample,-0.01439289328761995,3.66,-0.5765017142296849,1.688840181226256
1992-11,in_sample,0.02475765112572652,3.66,0.5397771433095551,1.688840181226256
1992-12,in_sample,0.02982235730702351,3.48,0.684184443758302,1.525750217374941
1993-01,in_sample,-0.0009415872180501442,3.53,-0.1929717072591749,1.571052985111417
1993-02,in_sample,0.01475629161304519,3.27,0.2546136458934322,1.33547859288174
1993-03,in_sample,0.01897215652254279,2.97,0.3748183821297297,1.063661986462882
1993-04,in_sample,-0.01585273447629152,3.04,-0.6181253973405509,1.127085861293949
1993-05,in_sample,0.004885581521038919,3.01,-0.02682471338643491,1.099904200652063
1993-06,in_sample,0.00629122984901231,2.82,0.01325379722342451,0.927753683253453
1993-07,in_sample,-0.001719998190272551,2.7,-0.2151661294259385,0.81902704068591
1993-08,in_sample,0.0151763468366641,2.59,0.2665904592979697,0.7193609516656617
1993-09,in_sample,0.01118944856043626,2.35,0.1529141281102073,0.5019076665305755
1993-10,in_sample,0.01009606253208669,2.24,0.1217389880230276,0.4022415775103276
1993-11,in_sample,-0.00217956689181951,2.54,-0.2282695698202117,0.6740581839291856
1993-12,in_sample,0.006588887365785937,2.64,0.02174074926306871,0.7646637194021384
1994-01,in_sample,0.01499591438773198,2.71,0.2614458838910364,0.8280875942332051
1994-02,in_sample,-0.002985487676495005,2.64,-0.2512483647837372,0.7646637194021384
1994-03,in_sample,-0.01661377333622562,2.89,-0.6398244976171897,0.9911775580845201
