month,sample_period,sp500_log_return,z_sp500_log_return
1990-02,in_sample,-0.0284020165066652,-0.975936467856027
1990-03,in_sample,0.0239505550634779,0.516764838275447
1990-04,in_sample,-0.000827618869656513,-0.189722187753206
1990-05,in_sample,0.0350688871068334,0.833775985299696
1990-06,in_sample,0.0285395931842771,0.64760966578552
1990-07,in_sample,-0.000999417089933746,-0.194620579944988
1990-08,in_sample,-0.0848245583163946,-2.58468269232369
1990-09,in_sample,-0.0474894231982941,-1.52016564408824
1990-10,in_sample,-0.0266348291042288,-0.925549583989938
1990-11,in_sample,0.0262542995293182,0.582450291158037
1990-12,in_sample,0.0418047332701138,1.0258316200904
1991-01,in_sample,-0.00996584428148542,-0.450275597048198
1991-02,in_sample,0.107030446854282,2.88557804591776
1991-03,in_sample,0.0272840732527391,0.611811687090818
1991-04,in_sample,0.0196825333699437,0.395072983119869
1991-05,in_sample,-0.00446105244426111,-0.293320366025835
1991-06,in_sample,0.000793356999353124,-0.143504156349793
1991-07,in_sample,0.00511523553791359,-0.0202767093311258
1991-08,in_sample,0.0238307601576404,0.513349189205143
1991-09,in_sample,-0.00566573753567731,-0.327668917692008
1991-10,in_sample,-0.000826787975994074,-0.189698496919729
1991-11,in_sample,-0.00248447332766183,-0.236963206472232
1991-12,in_sample,0.00668881540340736,0.0245899447811305
1992-01,in_sample,0.0685586399626436,1.78865167393536
1992-02,in_sample,-0.00849589972211352,-0.408363841848638
1992-03,in_sample,-0.0126843343736618,-0.527786473583847
1992-04,in_sample,0.000122734023252678,-0.162625276140551
1992-05,in_sample,0.0180005346763419,0.347115040051361
1992-06,in_sample,-0.0158918638283005,-0.619241071950222
1992-07,in_sample,0.0164702746607087,0.303483542007449
1992-08,in_sample,0.00691495948519872,0.0310378719056191
1992-09,in_sample,0.00131514467611239,-0.128626699077645
1992-10,in_sample,-0.01439289328762,-0.576501714229685
1992-11,in_sample,0.0247576511257265,0.539777143309555
1992-12,in_sample,0.0298223573070235,0.684184443758302
1993-01,in_sample,-0.000941587218050144,-0.192971707259175
1993-02,in_sample,0.0147562916130452,0.254613645893432
1993-03,in_sample,0.0189721565225428,0.37481838212973
1993-04,in_sample,-0.0158527344762915,-0.618125397340551
1993-05,in_sample,0.00488558152103892,-0.0268247133864349
1993-06,in_sample,0.00629122984901231,0.0132537972234245
1993-07,in_sample,-0.00171999819027255,-0.215166129425938
1993-08,in_sample,0.0151763468366641,0.26659045929797
1993-09,in_sample,0.0111894485604363,0.152914128110207
1993-10,in_sample,0.0100960625320867,0.121738988023028
1993-11,in_sample,-0.00217956689181951,-0.228269569820212
1993-12,in_sample,0.00658888736578594,0.0217407492630687
1994-01,in_sample,0.014995914387732,0.261445883891036
1994-02,in_sample,-0.00298548767649501,-0.251248364783737
1994-03,in_sample,-0.0166137733362256,-0.63982449761719
1994-04,in_sample,-0.0364019819371107,-1.20403526967005
1994-05,in_sample,0.00817258175747326,0.066895793534723
1994-06,in_sample,0.00867813733456159,0.0813104334962139
1994-07,in_sample,-0.00756985837816463,-0.381960112629869
1994-08,in_sample,0.0280477954989176,0.633587297346465
1994-09,in_sample,0.00584194101318261,0.000443461227326934
1994-10,in_sample,-0.0067686152888596,-0.359114690331329
1994-11,in_sample,-0.00605525087132523,-0.338774906327127
1994-12,in_sample,-0.0127048205300912,-0.528370584574819
1995-01,in_sample,0.0218599813171006,0.457157409868603
1995-02,in_sample,0.035203229649114,0.837606423467623
1995-03,in_sample,0.0230352622285285,0.490667575633989
1995-04,in_sample,0.0294908791285135,0.674733180999357
1995-05,in_sample,0.0308247566190643,0.712765327513819
1995-06,in_sample,0.0292356876738578,0.667457041427724
1995-07,in_sample,0.0328645814647509,0.770925779237879
1995-08,in_sample,0.0031169414744945,-0.0772530157290636
1995-09,in_sample,0.0345589282780941,0.819235797742483
1995-10,in_sample,0.00714479362671828,0.0375910117600807
1995-11,in_sample,0.0214018096946917,0.444093803656139
1995-12,in_sample,0.0314710709092406,0.73119334654293
1996-01,in_sample,-0.000244102882439898,-0.173084703668974
1996-02,in_sample,0.0555856866625942,1.41876068759821
1996-03,in_sample,-0.00380993974718983,-0.274755532547599
1996-04,in_sample,0.000154530844663882,-0.161718670114756
1996-05,in_sample,0.0214927258213491,0.446686047302243
1996-06,in_sample,0.0109346595735924,0.145649463891371
1996-07,in_sample,-0.0372289806924146,-1.22761504971118
1996-08,in_sample,0.0284848032207533,0.646047468406059
1996-09,in_sample,0.0182426782200731,0.354019151409379
1996-10,in_sample,0.0386289799563728,0.935283038097222
1996-11,in_sample,0.0476177713691866,1.19157571446506
1996-12,in_sample,0.0102508132622379,0.126151314105464
1997-01,in_sample,0.0304368728928784,0.701705803075194
1997-02,in_sample,0.0411278650976294,1.00653243430365
1997-03,in_sample,-0.00783380825560208,-0.389485976498394
1997-04,in_sample,-0.0362872296808885,-1.20076339901295
1997-05,in_sample,0.0866655176156572,2.30492354200211
1997-06,in_sample,0.0505554068317841,1.27533496755318
1997-07,in_sample,0.0544101155111807,1.38524224637295
1997-08,in_sample,0.00210522984264627,-0.106099416755704
1997-09,in_sample,0.0104921949943165,0.133033704328974
1997-10,in_sample,0.0149776656198869,0.260925566382638
1997-11,in_sample,-0.01295201378701,-0.535418675745953
1997-12,in_sample,0.0246687135440981,0.53724131287603
1998-01,in_sample,0.00102818161135311,-0.136808725838332
1998-02,in_sample,0.0607906933936662,1.56716830374529
1998-03,in_sample,0.0505589517194622,1.27543604106893
1998-04,in_sample,0.0323184959241975,0.755355529769781
1998-05,in_sample,-0.00340445790000479,-0.263194242151487
1998-06,in_sample,-2.70659190474504e-05,-0.166896443015901
1998-07,in_sample,0.0425588625772538,1.04733371192655
1998-08,in_sample,-0.073500263813737,-2.26179904615005
1998-09,in_sample,-0.0515372292042831,-1.63557860530279
1998-10,in_sample,0.0115241082293454,0.162456103029642
1998-11,in_sample,0.102952706719644,2.76931158865533
1998-12,in_sample,0.039088626586982,0.948388700441814
1999-01,in_sample,0.0481637438209079,1.20714273949083
1999-02,in_sample,-0.00175526524317194,-0.216171680334852
1999-03,in_sample,0.0277523110902861,0.625162305994992
1999-04,in_sample,0.0405953876942999,0.991350186486641
1999-05,in_sample,-0.00201737711988825,-0.223645138256643
1999-06,in_sample,-0.00717243207090421,-0.370628505601859
1999-07,in_sample,0.0432389420523131,1.06672445989266
1999-08,in_sample,-0.0395106921224233,-1.29267228624493
1999-09,in_sample,-0.00704553007817215,-0.367010215905277
1999-10,in_sample,-0.0138724543251287,-0.561662712137273
1999-11,in_sample,0.0676509561957081,1.76277136464351
1999-12,in_sample,0.0267280281095729,0.595957464717802
2000-01,in_sample,-0.00216517793142122,-0.227859304969103
2000-02,in_sample,-0.0260952962399024,-0.91016616752869
2000-03,in_sample,0.0376861924479887,0.908401834309864
2000-04,in_sample,0.0131908496587472,0.209979023757959
2000-05,in_sample,-0.0297816332196952,-1.01527275273635
2000-06,in_sample,0.0301921254055834,0.694727446845488
2000-07,in_sample,0.00752313630831392,0.0483784974182862
2000-08,in_sample,0.00842335111687572,0.0740458482329202
2000-09,in_sample,-0.0117894990395677,-0.502272504892067
2000-10,in_sample,-0.0545305280626009,-1.72092495948267
2000-11,in_sample,-0.00874226174882798,-0.41538823259065
2000-12,in_sample,-0.0347842537524704,-1.15790983778094
2001-01,in_sample,0.00352514465611243,-0.0656141333572261
2001-02,in_sample,-0.0226255023157432,-0.811233760442249
2001-03,in_sample,-0.0963177713055048,-2.91238262235494
2001-04,in_sample,0.00335902727343893,-0.0703505508177447
2001-05,in_sample,0.0654893523201277,1.7011386915647
