month,sample_period,sp500_log_return,credit_spread,z_sp500_log_return,z_credit_spread
1990-02,in_sample,-0.02840201650666517,0.94,-0.9759364678560274,-0.02722138660248113
1990-03,in_sample,0.02395055506347788,0.84,0.5167648382754468,-0.278440034237079
1990-04,in_sample,-0.0008276188696565126,0.91,-0.1897221877532059,-0.1025869808928603
1990-05,in_sample,0.03506888710683337,0.94,0.8337759852996963,-0.02722138660248113
1990-06,in_sample,0.02853959318427709,0.98,0.6476096657855196,0.07326607245135815
1990-07,in_sample,-0.0009994170899337458,0.92,-0.1946205799449877,-0.07746511612940049
1990-08,in_sample,-0.08482455831639456,0.97,-2.584682692323691,0.04814420768789832
1990-09,in_sample,-0.04748942319829406,1.16,-1.520165644088244,0.5254596381936343
1990-10,in_sample,-0.02663482910422876,1.29,-0.9255495839899383,0.852043880118612
1990-11,in_sample,0.02625429952931824,1.36,0.582450291158037,1.027896933462831
1990-12,in_sample,0.04180473327011384,1.38,1.025831620090398,1.07814066298975
1991-01,in_sample,-0.00996584428148542,1.34,-0.4502755970481979,0.977653203935911
1991-02,in_sample,0.1070304468542816,1.25,2.88557804591776,0.7515564210647726
1991-03,in_sample,0.02728407325273911,1.11,0.6118116870908176,0.3998503143763358
1991-04,in_sample,0.01968253336994373,1.02,0.3950729831198686,0.1737535315051974
1991-05,in_sample,-0.004461052444261111,0.95,-0.2933203660258347,-0.002099521839021312
1991-06,in_sample,0.0007933569993531239,0.88,-0.1435041563497931,-0.1779525751832398
1991-07,in_sample,0.005115235537913587,0.87,-0.02027670933112582,-0.2030744399466996
1991-08,in_sample,0.02383076015764036,0.88,0.5133491892051433,-0.1779525751832398
1991-09,in_sample,-0.005665737535677308,0.88,-0.3276689176920075,-0.1779525751832398
1991-10,in_sample,-0.0008267879759940738,0.92,-0.1896984969197285,-0.07746511612940049
1991-11,in_sample,-0.002484473327661833,1,-0.2369632064722323,0.1235098019782778
1991-12,in_sample,0.006688815403407365,0.94,0.0245899447811305,-0.02722138660248113
1992-01,in_sample,0.06855863996264357,0.94,1.788651673935359,-0.02722138660248113
1992-02,in_sample,-0.008495899722113521,0.9,-0.4083638418486377,-0.1277088456563201
1992-03,in_sample,-0.01268433437366176,0.87,-0.527786473583847,-0.2030744399466996
1992-04,in_sample,0.000122734023252678,0.85,-0.1626252761405507,-0.2533181694736192
1992-05,in_sample,0.0180005346763419,0.87,0.3471150400513612,-0.2030744399466996
1992-06,in_sample,-0.01589186382830046,0.82,-0.6192410719502225,-0.3286837637639987
1992-07,in_sample,0.0164702746607087,0.69,0.3034835420074491,-0.655268005688976
1992-08,in_sample,0.006914959485198716,0.72,0.03103787190561905,-0.5799024113985966
1992-09,in_sample,0.001315144676112386,0.72,-0.1286266990776454,-0.5799024113985966
1992-10,in_sample,-0.01439289328761995,0.9,-0.5765017142296849,-0.1277088456563201
1992-11,in_sample,0.02475765112572652,0.87,0.5397771433095551,-0.2030744399466996
1992-12,in_sample,0.02982235730702351,0.85,0.684184443758302,-0.2533181694736192
1993-01,in_sample,-0.0009415872180501442,0.7,-0.1929717072591749,-0.6301461409255162
1993-02,in_sample,0.01475629161304519,0.62,0.2546136458934322,-0.8311210590331944
1993-03,in_sample,0.01897215652254279,0.58,0.3748183821297297,-0.9316085180870337
1993-04,in_sample,-0.01585273447629152,0.76,-0.6181253973405509,-0.4794149523447573
1993-05,in_sample,0.004885581521038919,0.8,-0.02682471338643491,-0.378927493290918
1993-06,in_sample,0.00629122984901231,0.72,0.01325379722342451,-0.5799024113985966
1993-07,in_sample,-0.001719998190272551,0.8,-0.2151661294259385,-0.378927493290918
1993-08,in_sample,0.0151763468366641,0.71,0.2665904592979697,-0.6050242761620563
1993-09,in_sample,0.01118944856043626,0.67,0.1529141281102073,-0.7055117352158954
1993-10,in_sample,0.01009606253208669,0.67,0.1217389880230276,-0.7055117352158954
1993-11,in_sample,-0.00217956689181951,0.75,-0.2282695698202117,-0.5045368171082171
1993-12,in_sample,0.006588887365785937,0.77,0.02174074926306871,-0.4542930875812975
1994-01,in_sample,0.01499591438773198,0.7,0.2614458838910364,-0.6301461409255162
1994-02,in_sample,-0.002985487676495005,0.67,-0.2512483647837372,-0.7055117352158954
1994-03,in_sample,-0.01661377333622562,0.64,-0.6398244976171897,-0.7808773295062749
1994-04,in_sample,-0.0364019819371107,0.64,-1.204035269670054,-0.7808773295062749
1994-05,in_sample,0.00817258175747326,0.65,0.06689579353472296,-0.755755464742815
1994-06,in_sample,0.00867813733456159,0.68,0.08131043349621395,-0.6803898704524356
1994-07,in_sample,-0.007569858378164633,0.69,-0.3819601126298692,-0.655268005688976
1994-08,in_sample,0.0280477954989176,0.66,0.6335872973464646,-0.7306335999793552
1994-09,in_sample,0.005841941013182613,0.62,0.0004434612273269337,-0.8311210590331944
1994-10,in_sample,-0.0067686152888596,0.63,-0.3591146903313295,-0.8059991942697347
1994-11,in_sample,-0.00605525087132523,0.64,-0.3387749063271269,-0.7808773295062749
1994-12,in_sample,-0.01270482053009117,0.65,-0.5283705845748194,-0.755755464742815
1995-01,in_sample,0.02185998131710065,0.59,0.4571574098686031,-0.9064866533235739
1995-02,in_sample,0.03520322964911405,0.59,0.8376064234676232,-0.9064866533235739
1995-03,in_sample,0.02303526222852848,0.56,0.4906675756339889,-0.9818522476139531
1995-04,in_sample,0.02949087912851354,0.57,0.6747331809993565,-0.9567303828504935
1995-05,in_sample,0.03082475661906434,0.57,0.7127653275138189,-0.9567303828504935
1995-06,in_sample,0.02923568767385776,0.6,0.6674570414277236,-0.8813647885601141
1995-07,in_sample,0.03286458146475086,0.62,0.7709257792378789,-0.8311210590331944
1995-08,in_sample,0.003116941474494502,0.63,-0.07725301572906364,-0.8059991942697347
1995-09,in_sample,0.03455892827809415,0.61,0.8192357977424832,-0.8562429237966542
1995-10,in_sample,0.007144793626718282,0.66,0.03759101176008074,-0.7306335999793552
1995-11,in_sample,0.02140180969469172,0.68,0.4440938036561392,-0.6803898704524356
1995-12,in_sample,0.03147107090924058,0.67,0.7311933465429302,-0.7055117352158954
1996-01,in_sample,-0.000244102882439898,0.64,-0.1730847036689745,-0.7808773295062749
1996-02,in_sample,0.05558568666259419,0.66,1.418760687598212,-0.7306335999793552
1996-03,in_sample,-0.003809939747189829,0.7,-0.2747555325475995,-0.6301461409255162
1996-04,in_sample,0.0001545308446638816,0.68,-0.1617186701147561,-0.6803898704524356
1996-05,in_sample,0.02149272582134912,0.66,0.4466860473022435,-0.7306335999793552
1996-06,in_sample,0.01093465957359242,0.7,0.1456494638913705,-0.6301461409255162
1996-07,in_sample,-0.03722898069241461,0.72,-1.227615049711179,-0.5799024113985966
1996-08,in_sample,0.02848480322075327,0.68,0.6460474684060589,-0.6803898704524356
1996-09,in_sample,0.01824267822007309,0.68,0.3540191514093785,-0.6803898704524356
1996-10,in_sample,0.03862897995637275,0.68,0.9352830380972222,-0.6803898704524356
1996-11,in_sample,0.04761777136918655,0.7,1.191575714465056,-0.6301461409255162
1996-12,in_sample,0.01025081326223791,0.7,0.1261513141054635,-0.6301461409255162
1997-01,in_sample,0.03043687289287841,0.64,0.7017058030751936,-0.7808773295062749
1997-02,in_sample,0.04112786509762942,0.62,1.006532434303648,-0.8311210590331944
1997-03,in_sample,-0.007833808255602075,0.61,-0.3894859764983943,-0.8562429237966542
1997-04,in_sample,-0.03628722968088854,0.62,-1.200763399012948,-0.8311210590331944
1997-05,in_sample,0.08666551761565723,0.61,2.304923542002115,-0.8562429237966542
1997-06,in_sample,0.05055540683178409,0.58,1.275334967553175,-0.9316085180870337
1997-07,in_sample,0.05441011551118074,0.62,1.385242246372946,-0.8311210590331944
1997-08,in_sample,0.002105229842646273,0.53,-0.1060994167557044,-1.057217841904333
1997-09,in_sample,0.01049219499431652,0.58,0.1330337043289745,-0.9316085180870337
1997-10,in_sample,0.01497766561988691,0.57,0.2609255663826381,-0.9567303828504935
1997-11,in_sample,-0.01295201378701003,0.55,-0.5354186757459531,-1.006974112377413
1997-12,in_sample,0.02466871354409814,0.57,0.53724131287603,-0.9567303828504935
1998-01,in_sample,0.001028181611353105,0.59,-0.136808725838332,-0.9064866533235739
1998-02,in_sample,0.06079069339366621,0.58,1.567168303745291,-0.9316085180870337
1998-03,in_sample,0.05055895171946221,0.63,1.275436041068927,-0.8059991942697347
1998-04,in_sample,0.03231849592419745,0.62,0.7553555297697807,-0.8311210590331944
1998-05,in_sample,-0.00340445790000479,0.6,-0.2631942421514866,-0.8813647885601141
1998-06,in_sample,-2.706591904745037e-05,0.6,-0.1668964430159013,-0.8813647885601141
1998-07,in_sample,0.04255886257725383,0.61,1.047333711926549,-0.8562429237966542
1998-08,in_sample,-0.07350026381373702,0.65,-2.261799046150048,-0.755755464742815
1998-09,in_sample,-0.05153722920428312,0.77,-1.63557860530279,-0.4542930875812975
1998-10,in_sample,0.01152410822934539,0.82,0.1624561030296415,-0.3286837637639987
1998-11,in_sample,0.1029527067196439,1.02,2.769311588655329,0.1737535315051974
1998-12,in_sample,0.03908862658698199,1,0.9483887004418136,0.1235098019782778
1999-01,in_sample,0.0481637438209079,1.05,1.207142739490834,0.2491191257955769
1999-02,in_sample,-0.001755265243171937,0.94,-0.2161716803348521,-0.02722138660248113
1999-03,in_sample,0.02775231109028606,0.86,0.6251623059949922,-0.2281963047101594
1999-04,in_sample,0.04059538769429989,0.8,0.9913501864866411,-0.378927493290918
1999-05,in_sample,-0.002017377119888254,0.8,-0.2236451382566431,-0.378927493290918
1999-06,in_sample,-0.00717243207090421,0.78,-0.370628505601859,-0.4291712228178376
1999-07,in_sample,0.04323894205231309,0.75,1.066724459892655,-0.5045368171082171
1999-08,in_sample,-0.03951069212242331,0.78,-1.292672286244933,-0.4291712228178376
1999-09,in_sample,-0.007045530078172155,0.81,-0.3670102159052769,-0.3538056285274582
1999-10,in_sample,-0.01387245432512865,0.92,-0.5616627121372734,-0.07746511612940049
1999-11,in_sample,0.06765095619570814,0.67,1.762771364643512,-0.7055117352158954
1999-12,in_sample,0.02672802810957289,0.54,0.5959574647178016,-1.032095977140873
2000-01,in_sample,-0.002165177931421222,0.58,-0.2278593049691027,-0.9316085180870337
2000-02,in_sample,-0.02609529623990239,0.64,-0.9101661675286897,-0.7808773295062749
2000-03,in_sample,0.03768619244798874,0.73,0.9084018343098644,-0.5547805466351368
2000-04,in_sample,0.01319084965874718,0.84,0.2099790237579593,-0.278440034237079
2000-05,in_sample,-0.02978163321969517,0.93,-1.015272752736351,-0.05234325136594067
2000-06,in_sample,0.03019212540558345,0.74,0.6947274468454884,-0.529658681871677
2000-07,in_sample,0.007523136308313921,0.71,0.04837849741828622,-0.6050242761620563
2000-08,in_sample,0.008423351116875723,0.72,0.07404584823292025,-0.5799024113985966
2000-09,in_sample,-0.01178949903956771,0.7,-0.5022725048920674,-0.6301461409255162
2000-10,in_sample,-0.05453052806260091,0.84,-1.720924959482668,-0.278440034237079
2000-11,in_sample,-0.008742261748827978,0.81,-0.4153882325906503,-0.3538056285274582
2000-12,in_sample,-0.03478425375247037,0.84,-1.157909837780945,-0.278440034237079
2001-01,in_sample,0.003525144656112428,0.7,-0.0656141333572261,-0.6301461409255162
2001-02,in_sample,-0.02262550231574325,0.83,-0.8112337604422494,-0.3035618990005389
2001-03,in_sample,-0.09631777130550476,0.91,-2.912382622354944,-0.1025869808928603
2001-04,in_sample,0.003359027273438927,0.8,-0.07035055081774474,-0.378927493290918
2001-05,in_sample,0.06548935232012768,0.79,1.701138691564699,-0.4040493580543779
2001-06,in_sample,-0.02523768109716541,0.82,-0.8857134385542127,-0.3286837637639987
2001-07,in_sample,-0.02804748431439923,0.82,-0.9658278781423019,-0.3286837637639987
2001-08,in_sample,-0.02178058781671976,0.83,-0.7871431582342568,-0.3035618990005389
2001-09,in_sample,-0.1205701149378624,0.85,-3.603876925901544,-0.2533181694736192
2001-10,in_sample,0.03012631014455913,0.87,0.6928508909639354,-0.2030744399466996
2001-11,in_sample,0.04813576817811417,0.86,1.20634508471886,-0.2281963047101594
2001-12,in_sample,0.01340909298732138,1.31,0.2162016808662298,0.9022876096455316
2002-01,in_sample,-0.004131043798136776,1.38,-0.2839110032699962,1.07814066298975
2002-02,in_sample,-0.03529337067520806,1.34,-1.172426020515655,0.977653203935911
2002-03,in_sample,0.04713309049690965,1.33,1.177756263969958,0.9525313391724513
2002-04,in_sample,-0.03695493158305477,1.24,-1.219801231760756,0.7264345563013128
2002-05,in_sample,-0.02983088875324135,1.33,-1.016677149828098,0.9525313391724513
